DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
bisindolylmaleimide i,"AMPLIFICATION, DELETION, SOMATIC","AKT1, CDK1, CHEK1, MAPK8, PRKCI",5,"CDKN2A, PIK3CA, RFC4, SOX2, TP53",5,35,83,"16525614, 15896313, 14581353, 15645429, 16888677, 17974918, 12532415, 15226608, 11272092, 17990328, 16778075, 16002527","15495191, 18413807, 11916556, 16807070, 17638058, 11309301, 16969480, 16849682, 17848307, 16682429, 17312781, 12459644, 12708486, 16676365, 14689060, 11445847, 14676830, 14654786, 17990317, 16380997, 12589859, 12935924, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 17908957, 15965904, 11390535, 12684406, 16455286, 17989125, 17258495, 16467079, 12702551, 11836556, 12673364, 16865240, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 15942670, 16393249, 16847809, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16012721, 16713672, 17725429, 11445859, 14586645, 17565818, 17079134",AKT1: inhibitor; CDK1: inhibitor; CHEK1: inhibitor; MAPK8: inhibitor; PRKCI: UNKNOWN,14-3-3 protein binding; ATP binding,0.0042581392367894,78.94736842105263
dasatinib,"AMPLIFICATION, SOMATIC","EPHB4, FYN, HSPA8, KIT, LYN, SRC, STAT5B, YES1",8,"EPHA2, HRAS, PIK3CA, TP53",4,18,52,"17611172, 16342249, 11973644, 12771142, 11756219, 17961551, 17317803, 15613457, 17253141, 17513510, 17252232, 17043250, 14661437, 14583472, 17935283, 16630292, 14676830, 16757203","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 14581353, 15700036, 17908957, 11959846, 16815198, 11390535, 18030354, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 12494475, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 16309192, 18425361, 17565818, 18485799",EPHB4: inhibitor; FYN: inhibitor; HSPA8: binder; KIT: antagonist; LYN: inhibitor; SRC: inhibitor; STAT5B: inhibitor; YES1: inhibitor,ATP binding; alpha-tubulin binding; A1 adenosine receptor binding,0.0042581392367894,65.21739130434783
fostamatinib,"AMPLIFICATION, SOMATIC","ALK, AURKA, BRAF, CDK1, CDK4, CHEK1, DAPK1, EGFR, EPHA1, EPHA2, EPHB1, EPHB4, ERBB2, ERBB4, FGFR1, FGFR2, FGFR3, FYN, HCK, JAK2, JAK3, KIT, LYN, MAP2K3, MET, MTOR, NTRK1, NTRK3, PAK1, PDGFRA, PLK1, PLK3, PRKCI, RET, SRC, SYK, WEE1, YES1",38,"CLDN1, EIF4G1, EPHA2, HRAS, PIK3CA, RAC1, RFC4, SOX2, TP53",9,1008,80,"11854069, 17826531, 14603452, 15161032, 15015605, 17250463, 17098420, 16565089, 16551906, 16722544, 14662414, 16630292, 15930290, 17653341, 15214912, 15379322, 16495180, 15476268, 18383530, 11597400, 16818623, 15023838, 15173005, 11173137, 15511476, 10989966, 15871288, 15659782, 11992543, 17608727, 16555619, 12415634, 14528090, 15473298, 17609492, 17350323, 16483615, 16785414, 18307254, 11742034, 12782800, 15165306, 18377832, 18199961, 16984384, 17969526, 15761501, 18059337, 17685120, 16728576, 11727507, 18225590, 16248248, 12544258, 11938683, 17996216, 16357156, 15021776, 12202783, 11597399, 16140980, 17236202, 15672286, 18061531, 16287490, 17131411, 11752453, 18551016, 15231207, 18204781, 16050785, 17909831, 18203445, 16551863, 16986486, 11755824, 17674766, 11895923, 11114633, 15208356, 11904986, 18089792, 15103197, 16778204, 12966511, 12860957, 16634961, 15934280, 15645429, 11479234, 17431103, 18172732, 17284367, 17317803, 17592548, 16888677, 15197768, 17725429, 17904355, 17200208, 14763138, 11329134, 14508525, 11677653, 15736426, 17208308, 16815198, 18030354, 18236164, 17139501, 15987992, 12063543, 16488438, 15194221, 15638964, 15878750, 12212108, 17591832, 17786355, 17935283, 15800944, 15203751, 16005600, 15796181, 11448349, 18485799, 15923166, 11279608, 16702519, 15804620, 17078054, 12138239, 16342249, 15195111, 17342092, 11953175, 15988378, 17949783, 14661437, 12422313, 12782602, 15865067, 17723181, 16796648, 16472704, 12187077, 14676830, 12696248, 12771142, 11890870, 12647989, 11350885, 17096332, 17404024, 16103303, 14967456, 17369752, 16158919, 18528705, 15592685, 17618045, 16088519, 17079462, 17956162, 11568571, 15256466, 15520175, 16857823, 12743152, 15887238, 17143494, 18437172, 12075207, 16428508, 12583831, 11673832, 11706420, 16932252, 16490596, 14601066, 14977086, 17525478, 12174340, 17990328, 16264262, 17638894, 17435680, 15611826, 11817715, 12414665, 18268492, 17179987, 11920518, 15681856, 17980147, 11939730, 17878104, 16641105, 15613458, 15785737, 16919867, 18442098, 18045070, 15947106, 18300019, 16309192, 17848272, 16533790, 16144930, 12587379, 14519647, 17784873, 12512382, 15199094, 18369180, 18199957, 18316548, 15379723, 16750322, 17704947, 12162676, 14967457, 17940077, 16183941, 12599217, 17178880, 14499691, 15212612, 17936675, 17545628, 18311783, 17471236, 18202792, 17671674, 17964995, 17097223, 11235991, 17410004, 13129707, 18329328, 11303632, 17520766, 11564579, 11502837, 18316583, 17258495, 12912971, 12220351, 16082192, 16763281, 17699797, 18043285, 15238978, 11562460, 15057134, 16149875, 16737616, 12820779, 18636200, 14997212, 16757203, 17961551, 16224162, 18025070, 17412519, 17989125, 16330971, 12952019, 17968324, 16562649, 12212516, 15947100, 11905034, 17538163, 17762933, 12228201, 12112535, 17477349, 17121916, 17252232, 12747978, 15355912, 14612544, 11370534, 15833854, 18251569, 16906516, 16007067, 17673571, 11911252, 16904111, 11705871, 16343364, 15583857, 11668514, 14751528, 15520205, 16740767, 12541404, 14530163, 15450723, 12649172, 16818711, 16922611, 17660872, 16273222, 12833132, 11485898, 16731604, 12509799, 18045071, 15640844, 11893453, 15756022, 17273794, 12082631, 18043251, 17487385, 16207530, 14607328, 15608420, 17134359, 11756219, 15120370, 11221831, 17340131, 17520580, 11751491, 15115300, 12011992, 15161700, 12539309, 16209369, 17205528, 14761598, 17900235, 18309947, 17891234, 12865874, 17414097, 18349821, 15735049, 16198049, 17189989, 15774576, 16258434, 15805246, 16444351, 16054751, 17638058, 12440226, 17487368, 17075124, 17310348, 15986037, 12907632, 12147092, 16946010, 17888033, 11673692, 16314626, 15142631, 15319714, 17047074, 11728233, 15338866, 12738995, 17211865, 17848290, 13679857, 11389080, 18376308, 17591829, 14666705, 12422310, 15602716, 11605053, 16161046, 17877424, 17974918, 11846729, 16788977, 12447651, 17936670, 14991901, 15833860, 17253141, 12167415, 18649358, 15073117, 16540898, 18326051, 17891251, 11585773, 16552236, 14962731, 11556855, 16254036, 14649542, 17513510, 18314909, 11180160, 17604679, 16644882, 11706397, 12142091, 16890793, 15827337, 11116144, 11289733, 18645125, 16142332, 15652339, 17697551, 11706744, 16434896, 16004931, 12569015, 16525614, 17122988, 15878755, 18302259, 15791567, 14718382, 11502806, 12429646, 14500405, 15599851, 17224925, 15630448, 17684930, 17611172, 17416856, 15623643, 17043250, 16027075, 12607604, 15719371, 16350727, 12548161, 18248834, 16127294, 12673202, 12670889, 18425361, 11272092, 15821783, 14988746, 18413807, 16807070, 14981927, 18366301, 15809707, 15613446, 16038265, 12743496, 11301350, 14581353, 10999773, 17141073, 12515612, 16402937, 15816106, 15254682, 12826036, 11216646, 14967462, 17575107, 17427103, 15717992, 14732836, 12494475, 17631646, 17940507, 15753456, 12520461, 16927414, 14581378","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 16676365, 14689060, 17409414, 14676830, 11445847, 17990317, 16380997, 12589859, 12935924, 15965904, 14581353, 15700036, 16815198, 11959846, 17908957, 11390535, 18030354, 16455286, 17234718, 17989125, 15170668, 16467079, 12702551, 11836556, 17258495, 17990328, 12673364, 16865240, 15810068, 11358835, 16903330, 17091452, 12673679, 17693665, 15586224, 15543611, 15240783, 15942670, 16393249, 16847809, 17592548, 12494475, 18376308, 18447972, 17549376, 16012721, 16713672, 17725429, 11445859, 16309192, 18425361, 17565818, 18485799",ALK: inhibitor; AURKA: inhibitor; BRAF: inhibitor; CDK1: inhibitor; CDK4: inhibitor; CHEK1: inhibitor; DAPK1: inhibitor; EGFR: inhibitor; EPHA1: inhibitor; EPHA2: inhibitor; EPHB1: inhibitor; EPHB4: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FYN: inhibitor; HCK: inhibitor; JAK2: inhibitor; JAK3: inhibitor; KIT: inhibitor; LYN: inhibitor; MAP2K3: inhibitor; MET: inhibitor; MTOR: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor; PAK1: inhibitor; PDGFRA: inhibitor; PLK1: inhibitor; PLK3: inhibitor; PRKCI: inhibitor; RET: inhibitor; SRC: inhibitor; SYK: inhibitor; WEE1: inhibitor; YES1: inhibitor,ATP binding; actin filament binding; alpha-tubulin binding,0.0042581392367894,35.11705685618729
pazopanib,"AMPLIFICATION, SOMATIC","FGFR3, KIT, PDGFRA",3,PIK3CA,1,24,39,"16342249, 11605053, 17317803, 17253141, 17513510, 14499691, 17935283, 16630292, 12075207, 15165306, 16757203","16807070, 17848307, 16676365, 17990317, 16380997, 14581353, 15700036, 16815198, 11959846, 18030354, 17989125, 11836556, 11358835, 15586224, 15543611, 12494475, 18376308, 18447972, 17549376, 16309192, 18425361, 18485799",FGFR3: inhibitor; KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0049304770110193,90.0
quercetin,"AMPLIFICATION, SOMATIC","ESR1, HCK, STAT3",3,PIK3CA,1,44,17,"17145757, 17525119, 17826306, 16490172, 16642480, 11309301, 12440226, 12640143, 17961551, 12960141, 12532415, 16224162, 12067972, 12782602, 11773428, 11426647, 17498291, 15613280, 18326051, 12963127, 15715937, 15374974, 15254691, 16503733, 17122156, 17020778, 17822622, 17634553, 16553031, 17566705, 12162406, 16158919, 18172861, 12865943, 15498875, 17761947, 17225522, 11222718, 17325127, 18204781, 15592503, 15947106, 15173005, 12637586","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",ESR1: UNKNOWN; HCK: UNKNOWN; STAT3: inhibitor,14-3-3 protein binding; ATP binding; chromatin DNA binding,0.0049304770110193,59.375
fn-1501,"DELETION, SOMATIC","CDK2, CDK4, CDK6",3,"CDKN2A, CDKN2B",2,33,18,"12017338, 11267947, 11453659, 11854069, 17340131, 16248248, 12429646, 12097237, 18438866, 15543230, 16422547, 11564579, 11585773, 17177999, 16452236, 17139501, 12539309, 16496417, 16027075, 11180160, 11555592, 12212108, 16952836, 17477349, 17635577, 15833870, 12747978, 17487385, 12480548, 12447651","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK2: inhibitor; CDK4: inhibitor; CDK6: inhibitor,ATP binding,0.0062452708806245,100.0
olomoucine,"DELETION, SOMATIC","CDK1, CDK2, CDK5",3,"CDKN2A, CDKN2B",2,16,18,"16525614, 17145757, 11267947, 11453659, 15645429, 12017338, 15833870, 16248248, 16496417, 15543230, 16422547, 11555592, 11585773, 12480548, 16452236, 11272092","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: binder; CDK2: inhibitor; CDK5: inhibitor,ATP binding; acetylcholine receptor activator activity,0.0062452708806245,100.0
purvalanol,"DELETION, SOMATIC","CDK1, CDK2, CDK4, CDK5",4,"CDKN2A, CDKN2B",2,30,18,"16525614, 17145757, 11267947, 11453659, 12017338, 11854069, 17340131, 16248248, 12429646, 15543230, 16422547, 11564579, 11585773, 16452236, 17139501, 12539309, 15645429, 16496417, 16027075, 11180160, 11555592, 12212108, 17477349, 15833870, 12747978, 17487385, 12480548, 11272092, 12447651","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: binder; CDK2: inhibitor; CDK4: UNKNOWN; CDK5: inhibitor,ATP binding; acetylcholine receptor activator activity,0.0062452708806245,55.55555555555556
tetrabromo-2-benzotriazole,"AMPLIFICATION, DELETION, SOMATIC","AKT1, CHEK1, MAPK8",3,"CDKN2A, PIK3CA, RFC4, TP53",4,24,82,"15896313, 14581353, 17974918, 12532415, 15226608, 16888677, 16778075, 16002527","15495191, 18413807, 11916556, 16807070, 17638058, 11309301, 16969480, 16849682, 17848307, 16682429, 17312781, 12459644, 12708486, 16676365, 14689060, 11445847, 14676830, 14654786, 17990317, 16380997, 12589859, 12935924, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 17908957, 15965904, 11390535, 12684406, 16455286, 17989125, 17258495, 16467079, 12702551, 11836556, 12673364, 16865240, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16012721, 16713672, 17725429, 11445859, 14586645, 17565818, 17079134",AKT1: inhibitor; CHEK1: inhibitor; MAPK8: inhibitor,14-3-3 protein binding; ATP binding,0.0068545656006854,72.22222222222221
seliciclib,SOMATIC,"CDK1, CDK2",2,TP53,1,15,46,"16525614, 12017338, 11267947, 11453659, 15645429, 15833870, 16248248, 16496417, 15543230, 16422547, 11555592, 11585773, 12480548, 16452236, 11272092","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 14581353, 15700036, 17908957, 11959846, 16815198, 11390535, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 17565818",CDK1: inhibitor; CDK2: inhibitor,ATP binding,0.0069391898673605,100.0
ci-1040,"AMPLIFICATION, DELETION, SOMATIC","AKT1, CHEK1, MAPK8",3,"CDKN2A, PIK3CA, RFC4, TP53",4,24,82,"15896313, 14581353, 17974918, 12532415, 15226608, 16888677, 16778075, 16002527","15495191, 18413807, 11916556, 16807070, 17638058, 11309301, 16969480, 16849682, 17848307, 16682429, 17312781, 12459644, 12708486, 16676365, 14689060, 11445847, 14676830, 14654786, 17990317, 16380997, 12589859, 12935924, 16278815, 14581353, 15700036, 16815198, 11959846, 11720478, 12632081, 17908957, 15965904, 11390535, 12684406, 16455286, 17989125, 17258495, 16467079, 12702551, 11836556, 12673364, 16865240, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 15083191, 14991744, 18376308, 18447972, 17549376, 17117177, 16012721, 16713672, 17725429, 11445859, 14586645, 17565818, 17079134",AKT1: inhibitor; CHEK1: inhibitor; MAPK8: inhibitor,14-3-3 protein binding; ATP binding,0.0069391898673605,73.33333333333333
resveratrol,"AMPLIFICATION, SOMATIC","AKT1, APP, ESR1, ITGB3, PTGS2",5,"COL1A2, PIK3CA, TP53",3,10,47,"15896313, 14581353, 11309301, 16458426, 17974918, 18030354, 12532415, 17679464, 16778075, 16002527","17638058, 11916556, 16807070, 16969480, 17848307, 16682429, 17312781, 12708486, 14689060, 16676365, 12589859, 15965904, 11445847, 17990317, 16380997, 12935924, 14581353, 15700036, 17908957, 11959846, 16815198, 11390535, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 18254958, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 18376308, 17549376, 18447972, 16012721, 16713672, 17725429, 11445859, 17565818",AKT1: inhibitor; APP: UNKNOWN; ESR1: UNKNOWN; ITGB3: UNKNOWN; PTGS2: inhibitor,14-3-3 protein binding; DNA binding; cell adhesion molecule binding,0.0069391898673605,61.53846153846154
arsenic trioxide,"AMPLIFICATION, DELETION, SOMATIC","AKT1, CCND1, CDKN1A, HDAC1, PML",5,"CDKN2A, CDKN2B, PIK3CA, TP53",4,67,64,"15896313, 18398822, 16807070, 16446704, 12532415, 15671549, 17487429, 16235239, 16906560, 14581353, 16815198, 12239610, 12649172, 16490596, 18251939, 17065789, 11859213, 18405350, 11299759, 14499691, 16954163, 15846092, 14697637, 15195525, 16778075, 11958128, 16002527, 16001430, 17974918, 17641416, 14586645, 14603450, 11470749","15495191, 18413807, 17673925, 11916556, 17638058, 16807070, 11309301, 16969480, 16849682, 17848307, 16682429, 17312781, 12459644, 12708486, 14689060, 16676365, 11445847, 12589859, 14654786, 15965904, 16380997, 12935924, 17990317, 16278815, 12632081, 14581353, 17908957, 11720478, 11959846, 15700036, 16815198, 11390535, 12684406, 16455286, 17989125, 17258495, 12702551, 11836556, 12673364, 15810068, 11358835, 16903330, 12673679, 17693665, 15586224, 15543611, 15240783, 16847809, 16393249, 15083191, 14991744, 18376308, 17117177, 17549376, 16012721, 18447972, 16713672, 17725429, 11445859, 14586645, 17565818, 17079134",AKT1: inducer; CCND1: antagonist; CDKN1A: UNKNOWN; HDAC1: UNKNOWN; PML: UNKNOWN,14-3-3 protein binding; cyclin-dependent protein serine/threonine kinase activator activity; cyclin binding,0.0069391898673605,60.0
midostaurin,"AMPLIFICATION, SOMATIC","KIT, PDGFRA",2,PIK3CA,1,18,34,"16342249, 17317803, 17253141, 17513510, 14499691, 17935283, 16630292, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",KIT: antagonist; PDGFRA: antagonist,ATP binding,0.0085162784735789,100.0
semaxanib,"AMPLIFICATION, SOMATIC","FGFR1, KIT, PDGFRA, RET",4,PIK3CA,1,61,17,"11329134, 16807070, 16342249, 11953175, 17253141, 15988378, 15583857, 18437172, 11502806, 11938683, 10989966, 12743496, 11301350, 15379723, 10999773, 12907632, 16555619, 16946010, 17891251, 16932252, 11502837, 12162676, 16778204, 16402937, 16634961, 14962731, 16209369, 11216646, 12212516, 15611826, 17435680, 14761598, 17900235, 11817715, 17317803, 17513510, 14499691, 15719371, 16350727, 17427103, 12548161, 17935283, 16630292, 11742034, 15203751, 15165306, 17131411, 17545628, 11562460, 16149875, 11116144, 18551016, 11289733, 12670889, 18059337, 11370534, 17471236, 11706744, 16551863, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; RET: inhibitor,ATP binding,0.0085162784735789,88.88888888888889
hymenialdisine,"DELETION, SOMATIC","CDK1, CDK2, CDK5",3,"CDKN2A, CDKN2B",2,16,18,"16525614, 17145757, 11267947, 11453659, 15645429, 12017338, 15833870, 16248248, 16496417, 15543230, 16422547, 11555592, 11585773, 12480548, 16452236, 11272092","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: UNKNOWN; CDK2: inhibitor; CDK5: inhibitor,ATP binding; acetylcholine receptor activator activity,0.0104087848010408,100.0
su9516,"DELETION, SOMATIC","CDK1, CDK2, CDK5",3,"CDKN2A, CDKN2B",2,16,18,"16525614, 17145757, 11267947, 11453659, 15645429, 12017338, 15833870, 16248248, 16496417, 15543230, 16422547, 11555592, 11585773, 12480548, 16452236, 11272092","15495191, 16713672, 16278815, 12632081, 18413807, 17673925, 11720478, 11309301, 16849682, 17117177, 12684406, 12459644, 14586645, 15083191, 14991744, 17079134, 14654786",CDK1: binder; CDK2: inhibitor; CDK5: inhibitor,ATP binding; acetylcholine receptor activator activity,0.0104087848010408,100.0
martinostat,AMPLIFICATION,HDAC1,1,BCL6,1,1,4,12239610,"17429099, 11420458, 11224600, 14685876",HDAC1: inhibitor,core promoter sequence-specific DNA binding,0.0139522009035228,88.88888888888889
tivozanib,"AMPLIFICATION, SOMATIC","FGFR1, KIT, MET, PDGFRA",4,PIK3CA,1,50,34,"16807070, 16342249, 17253141, 11911252, 11705871, 17075124, 17684930, 15319714, 17435680, 17317803, 17513510, 14499691, 17935283, 16630292, 18349821, 15165306, 15735049, 17545628, 11562460, 11752453, 11289733, 14991901, 18059337, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",FGFR1: inhibitor; KIT: inhibitor; MET: inhibitor; PDGFRA: inhibitor,ATP binding,0.0161515626223048,90.9090909090909
ripretinib,"AMPLIFICATION, SOMATIC","BRAF, KIT, PDGFRA",3,PIK3CA,1,49,17,"16728576, 17638058, 17097223, 16342249, 18251569, 16906516, 15195111, 17253141, 14508525, 18437172, 12907632, 16555619, 15630448, 16946010, 17891251, 16932252, 17989125, 16402937, 17525478, 17684930, 15161700, 17968324, 17435680, 15947100, 16254036, 17317803, 17575107, 17513510, 14499691, 16533790, 17891234, 17786355, 17179987, 16630292, 17935283, 18376308, 15681856, 17131411, 17545628, 17725429, 18043251, 15761501, 15613458, 12670889, 16444351, 16818623, 16434896, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",BRAF: inhibitor; KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0165315993898884,100.0
famitinib,"AMPLIFICATION, SOMATIC","KIT, PDGFRA",2,PIK3CA,1,18,34,"16342249, 17317803, 17253141, 17513510, 14499691, 17935283, 16630292, 16757203","16380997, 11358835, 14581353, 15700036, 16807070, 11959846, 16815198, 15586224, 18447972, 15543611, 17848307, 17989125, 11836556, 16676365, 18376308, 17549376, 17990317",KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0181314315889099,100.0
