DRUG,MUT_TYPE,Literature-Validated Gene Targets,Number of Validated Targets,Literature-Validated Risk Genes,Number of Validated Risk Genes,Gene Target Article Count,Risk Gene Article Count,Gene Target PMIDs,Risk Gene PMIDs,ACTION,SPECIFIC_FUNCTION,Drug Empirical FDR,Percent Targets Hit
fostamatinib,"AMPLIFICATION, SOMATIC","ALK, BRAF, CDK1, CDK4, CHEK1, EGFR, EPHA2, ERBB2, ERBB4, FGFR1, FGFR2, FGFR3, FYN, HCK, JAK2, JAK3, KIT, LYN, MET, MTOR, NTRK1, NTRK3, PDGFRA, PRKCI, RET, SRC, SYK",27,"CLDN1, PIK3CA, RFC4, SOX2",4,975,40,"16209369, 18199961, 15804620, 17961551, 12782800, 15203751, 11389080, 17369752, 17848272, 15379723, 17205528, 15871288, 12696248, 18045070, 16140980, 15681856, 11817715, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17513510, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 17477349, 11114633, 16428508, 12415634, 17179987, 17098420, 14581353, 18369180, 14732836, 17525478, 17674766, 15592685, 17427103, 12649172, 15623643, 16807070, 17638058, 15756022, 16818711, 12494475, 16630292, 17685120, 18061531, 12212516, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11502806, 11755824, 11895923, 17350323, 16444351, 17604679, 16342249, 15719371, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 12548161, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 18349821, 15638964, 18551016, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 11605053, 12747978, 17591832, 16314626, 12447651, 12520461, 17414097, 17848290, 17236202, 16904111, 12907632, 15611826, 11180160, 12771142, 18043285, 16350727, 15120370, 15165306, 11568571, 14508525, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 17786355, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 16027075, 12422313, 12228201, 16919867, 12162676, 14991901, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 17969526, 14967457, 14967456, 17608727, 16906516, 16005600, 15021776, 15355912, 11705871, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18376308, 18645125, 16740767, 16644882, 18329328, 11706744, 11448349, 12743496, 16161046, 11890870, 11992543, 15199094, 11920518, 16634961, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17891234, 17538163, 15195111, 13679857, 16757203, 11116144, 17122988, 11301350, 16483615, 15652339, 17258495, 12202783, 18437172, 15473298, 18202792, 17653341, 18203445, 17097223, 17139501, 16722544, 16890793, 11673692, 16533790, 15231207, 17143494, 17487368, 15214912, 11938683, 11597399, 11235991, 16357156, 16183941, 18248834, 15988378, 16552236, 17591829, 15583857, 16565089, 18204781, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 10989966, 11279608, 17310348, 17638894, 18316583, 16818623, 17940077, 11673832, 17631646, 16750322, 18043251, 17252232, 17671674, 17131411, 18377832, 12075207, 11854069, 15254682, 12743152, 11727507, 12569015, 16434896, 14763138, 15865067, 12515612, 16922611, 15613458, 10999773, 16088519, 16488438, 18089792, 16224162, 12512382, 12142091, 17200208, 15630448, 14519647, 17762933, 17317803, 16258434, 12826036, 14607328, 11564579, 15238978, 14649542, 11350885, 15986037, 16248248, 15212612, 16946010, 17416856, 17545628, 16254036, 17487385, 17609492, 17891251, 15142631, 15878755, 16309192, 16082192, 15947106, 15338866, 11502837, 11485898, 17936675, 15736426, 14967462, 17964995, 17520580, 17340131, 17989125, 15809707, 15735049, 17047074, 12952019, 12912971, 17684930, 12167415, 15520205, 17575107, 16986486, 12599217, 12011992, 16555619, 16788977, 18309947, 14666705, 14761598, 16763281, 11479234, 15878750, 15833854, 12541404, 17618045, 14962731, 12212108, 12865874, 17250463, 12647989, 18045071, 11216646, 12147092, 17208308, 18030354, 11893453, 17878104, 11556855, 15197768, 17697551, 17471236, 12544258, 17435680, 12174340, 17079462, 18059337, 17520766, 17178880, 18425361, 15319714, 15173005, 15645429, 11289733, 16728576, 14603452, 12429646, 17935283, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 16402937, 13129707, 15602716, 14530163, 15520175, 15821783, 16932252, 12138239, 17699797, 16038265, 15115300, 16525614, 17949783, 11742034, 16343364, 11329134, 15256466, 16702519, 16007067, 17412519, 17075124, 17877424, 18268492, 18316548, 11370534, 11752453, 16551906, 16984384, 17096332, 11272092, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 16551863, 14977086, 17826531, 17704947, 11562460, 12583831, 15947100, 18485799, 15934280, 15761501, 11751491, 17974918, 17990328, 15791567, 14500405, 16778204, 16927414, 11728233, 11706420, 16888677, 17592548, 16144930, 14751528, 16562649, 16796648, 15511476, 15816106, 12422310, 16815198, 12670889, 12673202, 12539309, 17968324, 17725429, 17342092, 15476268, 14581378, 17141073, 11953175, 18528705, 17253141, 15753456, 16264262, 12820779, 18251569, 11668514, 16149875, 16207530, 16490596, 14988746, 17900235, 15379322, 17273794, 15161700, 16731604","14581353, 17990317, 16676365, 16900776, 17549376, 15543611, 16380997, 18447972, 17989125, 16807070, 16467079, 18497946, 11358835, 11959846, 11836556, 18376308, 15170668, 15942670, 17848307, 15586224, 17091452, 16815198, 15700036",ALK: inhibitor; BRAF: inhibitor; CDK1: inhibitor; CDK4: inhibitor; CHEK1: inhibitor; EGFR: inhibitor; EPHA2: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; FYN: inhibitor; HCK: inhibitor; JAK2: inhibitor; JAK3: inhibitor; KIT: inhibitor; LYN: inhibitor; MET: inhibitor; MTOR: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor; PDGFRA: inhibitor; PRKCI: inhibitor; RET: inhibitor; SRC: inhibitor; SYK: inhibitor,ATP binding; actin filament binding; alpha-tubulin binding,0.0023094640848463,24.74916387959866
linifanib,"AMPLIFICATION, SOMATIC",KIT,1,PIK3CA,1,21,34,"16342249, 17253141, 16757203, 17935283, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: UNKNOWN,ATP binding,0.0038327276301705,100.0
tivozanib,"AMPLIFICATION, SOMATIC","FGFR1, KIT, MET, PDGFRA",4,PIK3CA,1,75,34,"16342249, 18059337, 11562460, 15319714, 17317803, 17075124, 11289733, 16807070, 15735049, 17935283, 11705871, 11752453, 11911252, 16630292, 17253141, 17684930, 17545628, 16757203, 17513510, 14991901, 15165306, 18349821, 14499691, 17435680","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; KIT: inhibitor; MET: inhibitor; PDGFRA: inhibitor,ATP binding,0.0038327276301705,90.9090909090909
sf1126,"AMPLIFICATION, SOMATIC",MTOR,1,PIK3CA,1,8,17,"18089792, 17342092, 18316583, 15355912, 17047074, 15833854, 16927414, 15379322","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",MTOR: UNKNOWN,ATP binding,0.0038327276301705,80.0
zanubrutinib,"AMPLIFICATION, SOMATIC","EGFR, ERBB2, ERBB4, JAK2, JAK3",5,PIK3CA,1,654,34,"18199961, 15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 12649172, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11755824, 11895923, 17350323, 17604679, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 18043285, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 17969526, 14967457, 14967456, 17608727, 16005600, 15021776, 14601066, 14662414, 15930290, 11221831, 14997212, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 18204781, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 17310348, 17638894, 17940077, 11673832, 17631646, 16750322, 17671674, 18377832, 15254682, 12743152, 11727507, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17416856, 17609492, 15142631, 15878755, 16082192, 15947106, 15338866, 17936675, 15736426, 14967462, 17964995, 17520580, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 14666705, 16763281, 11479234, 15878750, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 17704947, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 17592548, 16144930, 14751528, 16562649, 15511476, 15816106, 12422310, 16815198, 12673202, 15476268, 14581378, 17141073, 18528705, 15753456, 16264262, 12820779, 11668514, 16207530, 16490596, 14988746, 17273794, 16731604","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",EGFR: inhibitor; ERBB2: inhibitor; ERBB4: inhibitor; JAK2: inhibitor; JAK3: inhibitor,actin filament binding; ATP binding; acetylcholine receptor binding,0.0038327276301705,66.66666666666666
midostaurin,"AMPLIFICATION, SOMATIC","KIT, PDGFRA",2,PIK3CA,1,18,34,"16342249, 17253141, 16757203, 17935283, 14499691, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: antagonist; PDGFRA: antagonist,ATP binding,0.0046587465159831,100.0
xl820,"AMPLIFICATION, SOMATIC","KIT, PDGFRA",2,PIK3CA,1,9,17,"16342249, 17253141, 16757203, 17935283, 14499691, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: UNKNOWN; PDGFRA: UNKNOWN,ATP binding,0.0046587465159831,100.0
"inositol 1,3,4,5-tetrakisphosphate","AMPLIFICATION, SOMATIC",AKT1,1,PIK3CA,1,6,17,"16002527, 14581353, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor,14-3-3 protein binding,0.0046587465159831,62.5
bosutinib,"AMPLIFICATION, SOMATIC","HCK, LYN, SRC",3,PIK3CA,1,3,17,"17252232, 17961551, 16224162","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",HCK: inhibitor; LYN: inhibitor; SRC: inhibitor,ATP binding,0.0046587465159831,54.54545454545454
amuvatinib,"AMPLIFICATION, SOMATIC","KIT, MET, PDGFRA, RET",4,PIK3CA,1,154,34,"16342249, 15719371, 16209369, 11742034, 11329134, 11938683, 15319714, 15203751, 17317803, 14962731, 15379723, 17427103, 16634961, 17075124, 11289733, 12670889, 15735049, 17935283, 11370534, 11216646, 11705871, 11752453, 11911252, 11817715, 16778204, 16630292, 12548161, 17131411, 11953175, 15988378, 17253141, 16946010, 17684930, 16402937, 15583857, 16757203, 11116144, 11301350, 17513510, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 14991901, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 18349821, 12743496, 14761598, 14499691, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: modulator; MET: UNKNOWN; PDGFRA: modulator; RET: UNKNOWN,ATP binding,0.0050982509042834,100.0
selpercatinib,"AMPLIFICATION, SOMATIC","FGFR1, FGFR2, FGFR3, RET",4,PIK3CA,1,124,34,"15719371, 16209369, 11742034, 18059337, 11329134, 11938683, 11562460, 11605053, 15203751, 14962731, 15379723, 17427103, 16634961, 11289733, 12670889, 16807070, 11370534, 11216646, 16778204, 11817715, 12548161, 17131411, 11953175, 15988378, 16946010, 12075207, 16402937, 15583857, 17545628, 11116144, 11301350, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 15165306, 12569015, 12743496, 14761598, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; FGFR2: inhibitor; FGFR3: inhibitor; RET: inhibitor,ATP binding,0.0050982509042834,100.0
pazopanib,"AMPLIFICATION, SOMATIC","FGFR3, KIT, PDGFRA",3,PIK3CA,1,36,34,"16342249, 17253141, 12075207, 15165306, 16757203, 17935283, 11605053, 14499691, 17513510, 17317803, 16630292","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR3: inhibitor; KIT: inhibitor; PDGFRA: inhibitor,ATP binding,0.0050982509042834,80.0
entrectinib,"AMPLIFICATION, SOMATIC","ALK, JAK2, NTRK1, NTRK3",4,PIK3CA,1,10,17,"15214912, 11485898, 16796648, 11279608, 15947106, 15602716, 11216646, 11114633, 16483615, 17414097","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",ALK: inhibitor; JAK2: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor,ATP binding; acetylcholine receptor binding,0.0056293187068129,71.42857142857143
imatinib,"AMPLIFICATION, SOMATIC","KIT, NTRK1, PDGFRA, RET",4,PIK3CA,1,118,34,"16342249, 15719371, 16209369, 11742034, 11329134, 11938683, 15203751, 17317803, 14962731, 15379723, 17427103, 16634961, 11289733, 12670889, 17935283, 11370534, 11216646, 16778204, 11817715, 16630292, 12548161, 17131411, 11953175, 15988378, 17253141, 16946010, 16402937, 15583857, 16757203, 11116144, 11301350, 16483615, 17513510, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 12743496, 14761598, 14499691, 11114633, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",KIT: antagonist; NTRK1: antagonist; PDGFRA: antagonist; RET: inhibitor,ATP binding,0.0065504799497459,72.72727272727273
altiratinib,"AMPLIFICATION, SOMATIC","MET, NTRK1, NTRK3",3,PIK3CA,1,15,17,"17075124, 11289733, 17684930, 11279608, 18349821, 15735049, 15319714, 11216646, 11114633, 16483615, 11705871, 11752453, 11911252, 17435680, 14991901","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",MET: inhibitor; NTRK1: inhibitor; NTRK3: inhibitor,ATP binding,0.0066227278903681,80.0
foreskin keratinocyte (neonatal),"AMPLIFICATION, SOMATIC","EGFR, FGFR2, PDGFRA, TNF",4,"CYLD, PIK3CA",2,614,19,"15804620, 12782800, 17961551, 11389080, 17369752, 17848272, 17205528, 15871288, 12696248, 18045070, 16140980, 11677653, 17211865, 18225590, 12509799, 15057134, 17431103, 17404024, 11846729, 17513510, 17189989, 14981927, 17224925, 16158919, 18025070, 17936670, 16428508, 12415634, 17098420, 14581353, 18369180, 14732836, 17674766, 15592685, 15623643, 16807070, 15756022, 16818711, 16630292, 17685120, 18061531, 12966511, 14528090, 17078054, 17956162, 15796181, 16103303, 11895923, 11755824, 17904355, 17121916, 15887238, 18302259, 17410004, 18172732, 15161032, 11173137, 11939730, 17909831, 11706397, 17134359, 16737616, 16050785, 18366301, 18442098, 15638964, 15987992, 17996216, 12063543, 12860957, 15800944, 16472704, 17591832, 16314626, 12520461, 17848290, 17236202, 16904111, 15120370, 11568571, 18236164, 11303632, 17723181, 15208356, 12220351, 15194221, 12440226, 15672286, 16641105, 17356794, 14612544, 15785737, 16330971, 17660872, 12422313, 12228201, 16919867, 15613446, 12607604, 15717992, 12112535, 15103197, 15608420, 14967457, 11926139, 14967456, 17608727, 16005600, 14601066, 14662414, 15930290, 11221831, 14997212, 15623624, 11904986, 18383530, 11905034, 18645125, 16740767, 16644882, 18329328, 11448349, 16161046, 11890870, 11992543, 15199094, 11920518, 16287490, 17940507, 16198049, 18199957, 18326051, 11911252, 18307254, 18636200, 17538163, 13679857, 16757203, 17122988, 15652339, 17258495, 12202783, 15473298, 18202792, 17653341, 18203445, 16722544, 16890793, 11673692, 15231207, 17143494, 17487368, 11597399, 11235991, 16357156, 16183941, 18248834, 16552236, 17591829, 16565089, 16857823, 12738995, 16540898, 12833132, 15923166, 15827337, 17310348, 17638894, 17940077, 11673832, 15034017, 17631646, 16750322, 17671674, 18377832, 12075207, 15254682, 12743152, 11727507, 12569015, 14763138, 15865067, 12515612, 16922611, 16088519, 16488438, 12512382, 12142091, 17200208, 14519647, 17762933, 16258434, 12826036, 14607328, 15238978, 14649542, 11350885, 15986037, 15212612, 17609492, 15142631, 15878755, 16082192, 15947106, 15338866, 12548461, 17936675, 15736426, 14967462, 17964995, 17520580, 15809707, 12952019, 12912971, 12167415, 15520205, 16986486, 12599217, 12011992, 16788977, 18309947, 18197435, 16763281, 11479234, 15878750, 12541404, 17618045, 12865874, 17250463, 12647989, 18045071, 12147092, 17208308, 11893453, 17878104, 11556855, 15197768, 17697551, 12544258, 12174340, 17079462, 17520766, 17178880, 15173005, 14603452, 12187077, 11597400, 12414665, 15599851, 16004931, 17888033, 13129707, 14530163, 15520175, 15821783, 12138239, 15115300, 17949783, 16343364, 15256466, 16702519, 16007067, 17412519, 17877424, 18268492, 18316548, 16551906, 16984384, 17096332, 15833860, 16495180, 12782602, 16273222, 15774576, 12587379, 15450723, 18413807, 14499691, 15659782, 14977086, 17826531, 12583831, 15934280, 11751491, 17974918, 15791567, 14500405, 11728233, 11706420, 16888677, 17592548, 16144930, 14751528, 16562649, 15816106, 12422310, 12673202, 15476268, 14581378, 17141073, 15753456, 16264262, 12820779, 11668514, 16207530, 14988746, 17273794, 16731604","14581353, 17990317, 16676365, 16900776, 17549376, 15543611, 16380997, 18447972, 17989125, 16807070, 18497946, 11358835, 11959846, 11836556, 18376308, 17848307, 15586224, 16815198, 15700036",EGFR: agonist; FGFR2: agonist; PDGFRA: agonist; TNF: agonist,actin filament binding; ATP binding; cytokine activity,0.0066227278903681,66.66666666666666
zotiraciclib,"AMPLIFICATION, SOMATIC",FYN,1,PIK3CA,1,13,17,"12017338, 16248248, 11555592, 16496417, 11267947, 11453659, 15543230, 11585773, 16422547, 12480548, 16452236, 15833870, 12771142","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FYN: inhibitor,alpha-tubulin binding,0.0077202085122005,100.0
enzastaurin,"AMPLIFICATION, SOMATIC",AKT1,1,PIK3CA,1,6,17,"16002527, 14581353, 17974918, 16778075, 15896313, 12532415","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",AKT1: inhibitor,14-3-3 protein binding,0.0077645775266385,77.77777777777779
"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one","AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,2,17,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0085200499346357,80.0
ruxolitinib,"AMPLIFICATION, SOMATIC","JAK2, JAK3",2,PIK3CA,1,2,17,"18204781, 15947106","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",JAK2: inhibitor; JAK3: inhibitor,acetylcholine receptor binding; ATP binding,0.0085200499346357,80.0
trichostatin a,SOMATIC,"CASP8, TNF",2,CYLD,1,5,2,"16857411, 18197435, 11926139, 12548461, 16888677","18497946, 16900776",CASP8: activator; TNF: downregulator,cysteine-type endopeptidase activity; cytokine activity,0.0085200499346357,66.66666666666666
semaxanib,"AMPLIFICATION, SOMATIC","FGFR1, KIT, PDGFRA, RET",4,PIK3CA,1,136,34,"16342249, 15719371, 16209369, 11742034, 18059337, 11329134, 11938683, 11562460, 15203751, 17317803, 14962731, 15379723, 17427103, 16634961, 11289733, 12670889, 16807070, 17935283, 11370534, 11216646, 16778204, 11817715, 16630292, 12548161, 17131411, 11953175, 15988378, 17253141, 16946010, 16402937, 15583857, 17545628, 16757203, 11116144, 11301350, 17513510, 12212516, 12162676, 12907632, 15611826, 17891251, 18437172, 16149875, 17471236, 16350727, 16932252, 10989966, 11706744, 16555619, 15165306, 12743496, 14761598, 14499691, 16551863, 17435680, 17900235, 11502806, 18551016, 10999773, 11502837","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor; KIT: inhibitor; PDGFRA: inhibitor; RET: inhibitor,ATP binding,0.0088592556697383,77.77777777777779
dasatinib,"AMPLIFICATION, SOMATIC","EPHA2, FYN, KIT, LYN, SRC",5,"CLDN1, PIK3CA",2,28,36,"16342249, 17253141, 11973644, 16309192, 17961551, 16757203, 15613457, 18030354, 17935283, 18425361, 17252232, 18485799, 14583472, 12494475, 17513510, 17317803, 12771142, 16630292","14581353, 17990317, 16676365, 17549376, 15543611, 16380997, 18447972, 17989125, 16807070, 11358835, 11959846, 11836556, 18376308, 15170668, 17848307, 15586224, 17091452, 16815198, 15700036",EPHA2: antagonist; FYN: inhibitor; KIT: antagonist; LYN: inhibitor; SRC: inhibitor,ATP binding; alpha-tubulin binding,0.0088592556697383,52.17391304347826
surufatinib,"AMPLIFICATION, SOMATIC",FGFR1,1,PIK3CA,1,15,34,"18059337, 15165306, 16807070, 11562460, 17545628","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",FGFR1: inhibitor,ATP binding,0.0100076777010007,100.0
nt-219,"AMPLIFICATION, SOMATIC",STAT3,1,PIK3CA,1,41,17,"16490172, 17498291, 16642480, 17826306, 17020778, 17822622, 15498875, 17761947, 17961551, 12532415, 17525119, 11426647, 12440226, 15173005, 11222718, 17325127, 12067972, 18326051, 12637586, 11773428, 15592503, 15374974, 12963127, 16503733, 18204781, 17566705, 15715937, 12782602, 12960141, 17122156, 17225522, 17634553, 16158919, 15254691, 12865943, 18172861, 15947106, 17145757, 12640143, 15613280, 12162406","15543611, 16380997, 18447972, 14581353, 17848307, 15586224, 17989125, 11358835, 16807070, 17990317, 11959846, 16676365, 11836556, 18376308, 16815198, 15700036, 17549376",STAT3: inhibitor,chromatin DNA binding,0.0106660775497508,100.0
